"","Station","Expedition","Vessel","TaxGroup","Taxon","original_id","Dev_stage","Sex","Length","Abundance_m3","Abundance_m2","eventID"
"2016","F 53-138","IYS2022","Franklin","copepod","Pleuromamma scutullata C5-C6","Pleuromamma scutullata","C6","F","",0.26241,78.723,"IYS2022-Franklin-5-53-138-Bongo-1"
"2017","F 53-138","IYS2022","Franklin","ostracod","Ostracoda","Conchoecia rudjakovi","","","< 5mm",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2018","F 53-138","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C2","","",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2019","F 53-138","IYS2022","Franklin","copepod","Heterostylites major C4-C6","Heterostylites major","C6","F","",0.08747,26.241,"IYS2022-Franklin-5-53-138-Bongo-1"
"2020","F 53-138","IYS2022","Franklin","euphausiid","Thysanoessa spinifera","Thysanoessa spinifera","adult","F","",0.01093,3.279,"IYS2022-Franklin-5-53-138-Bongo-1"
"2021","F 53-138","IYS2022","Franklin","amphipod","Scinidae","Scina rattrayi","adult","M","",0.02187,6.561,"IYS2022-Franklin-5-53-138-Bongo-1"
"2022","F 53-138","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C6","M","",6.29784,1889.352,"IYS2022-Franklin-5-53-138-Bongo-1"
"2023","F 53-138","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C5","F","",7.69735,2309.205,"IYS2022-Franklin-5-53-138-Bongo-1"
"2024","F 53-138","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina","","","< 5mm",0.08747,26.241,"IYS2022-Franklin-5-53-138-Bongo-1"
"2025","F 53-138","IYS2022","Franklin","appendicularian","Fritillaria spp.","Fritillaria spp.","","","< 5mm",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2026","F 53-138","IYS2022","Franklin","thaliacea","Doliolidae","Doliolid spp.","","",">= 5mm < 10mm",0.78723,236.169,"IYS2022-Franklin-5-53-138-Bongo-1"
"2027","F 53-138","IYS2022","Franklin","copepod","Mesocalanus tenuicornis","Mesocalanus tenuicornis","C6","F","",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2028","F 53-138","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona atlantica","C5","","",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2029","F 53-138","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","","> 10mm",0.08747,26.241,"IYS2022-Franklin-5-53-138-Bongo-1"
"2030","F 53-138","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C4","","",2.09928,629.784,"IYS2022-Franklin-5-53-138-Bongo-1"
"2031","F 53-138","IYS2022","Franklin","ostracod","Ostracoda","Discoconchoecia elegans","","","< 5mm",3.4988,1049.64,"IYS2022-Franklin-5-53-138-Bongo-1"
"2032","F 53-138","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C6","F","",0.34988,104.964,"IYS2022-Franklin-5-53-138-Bongo-1"
"2033","F 53-138","IYS2022","Franklin","copepod","Oithona atlantica C6","Oithona atlantica","C6","F","",1.39952,419.856,"IYS2022-Franklin-5-53-138-Bongo-1"
"2034","F 53-138","IYS2022","Franklin","cnidarian","Dimophyes arctica","Dimophyes arctica","nectophore","",">= 5mm < 10mm",0.08747,26.241,"IYS2022-Franklin-5-53-138-Bongo-1"
"2035","F 53-138","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C5","F","",8.39711,2519.133,"IYS2022-Franklin-5-53-138-Bongo-1"
"2036","F 53-138","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C6","F","",3.4988,1049.64,"IYS2022-Franklin-5-53-138-Bongo-1"
"2037","F 53-138","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","adult","F","",0.06559,19.677,"IYS2022-Franklin-5-53-138-Bongo-1"
"2038","F 53-138","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","","> 10mm",0.01093,3.279,"IYS2022-Franklin-5-53-138-Bongo-1"
"2039","F 53-138","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C4","","",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2040","F 53-138","IYS2022","Franklin","copepod","Metridia pacifica C5-C6","Metridia pacifica","C6","F","",3.4988,1049.64,"IYS2022-Franklin-5-53-138-Bongo-1"
"2041","F 53-138","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C5","","",0.69976,209.928,"IYS2022-Franklin-5-53-138-Bongo-1"
"2042","F 53-138","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","",">= 5mm < 10mm",0.04373,13.119,"IYS2022-Franklin-5-53-138-Bongo-1"
"2043","F 53-141","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C5","","",1.10427,331.281,"IYS2022-Franklin-5-53-141-Bongo-1"
"2044","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C4","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2045","F 53-141","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C5","","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2046","F 53-141","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","adult","F","",0.02124,6.372,"IYS2022-Franklin-5-53-141-Bongo-1"
"2047","F 53-141","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C2","","",1.01932,305.796,"IYS2022-Franklin-5-53-141-Bongo-1"
"2048","F 53-141","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","",">= 5mm < 10mm",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2049","F 53-141","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C2","","",2.7182,815.46,"IYS2022-Franklin-5-53-141-Bongo-1"
"2050","F 53-141","IYS2022","Franklin","copepod","Paraeuchaeta elongata C4-C6","Paraeuchaeta elongata","C6","F","",0.08494,25.482,"IYS2022-Franklin-5-53-141-Bongo-1"
"2051","F 53-141","IYS2022","Franklin","cnidarian","Siphonophorae","Siphonophora spp.","nectophore","","< 5mm",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2052","F 53-141","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura spp.","","","< 5mm",3.39775,1019.325,"IYS2022-Franklin-5-53-141-Bongo-1"
"2053","F 53-141","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C1","","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2054","F 53-141","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","","> 10mm",0.25483,76.449,"IYS2022-Franklin-5-53-141-Bongo-1"
"2055","F 53-141","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C2","","",4.75685,1427.055,"IYS2022-Franklin-5-53-141-Bongo-1"
"2056","F 53-141","IYS2022","Franklin","copepod","Candacia columbiae C5-C6","Candacia columbiae","C6","M","",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2057","F 53-141","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C2","","",1.3591,407.73,"IYS2022-Franklin-5-53-141-Bongo-1"
"2058","F 53-141","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona similis","C5","","",3.39775,1019.325,"IYS2022-Franklin-5-53-141-Bongo-1"
"2059","F 53-141","IYS2022","Franklin","cnidarian","Dimophyes arctica","Dimophyes arctica","nectophore","",">= 5mm < 10mm",0.25483,76.449,"IYS2022-Franklin-5-53-141-Bongo-1"
"2060","F 53-141","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina acuta","","","< 5mm",13.591,4077.3,"IYS2022-Franklin-5-53-141-Bongo-1"
"2061","F 53-141","IYS2022","Franklin","ostracod","Ostracoda","Discoconchoecia elegans","","","< 5mm",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2062","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C5","M","",6.45572,1936.716,"IYS2022-Franklin-5-53-141-Bongo-1"
"2063","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C5","F","",1.3591,407.73,"IYS2022-Franklin-5-53-141-Bongo-1"
"2064","F 53-141","IYS2022","Franklin","chaetognath","Eukrohnia hamata","Eukrohnia hamata","","",">= 5mm < 10mm",5.69123,1707.369,"IYS2022-Franklin-5-53-141-Bongo-1"
"2065","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C6","F","",11.21257,3363.771,"IYS2022-Franklin-5-53-141-Bongo-1"
"2066","F 53-141","IYS2022","Franklin","chaetognath","Eukrohnia hamata","Eukrohnia hamata","","","> 10mm",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2067","F 53-141","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C3","","",1.01932,305.796,"IYS2022-Franklin-5-53-141-Bongo-1"
"2068","F 53-141","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C4","","",2.03865,611.595,"IYS2022-Franklin-5-53-141-Bongo-1"
"2069","F 53-141","IYS2022","Franklin","euphausiid","Thysanoessa longipes","Thysanoessa longipes","adult","M","",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2070","F 53-141","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C5","","",1.69887,509.661,"IYS2022-Franklin-5-53-141-Bongo-1"
"2071","F 53-141","IYS2022","Franklin","copepod","Metridia aff. lucens C5-C6","Metridia aff lucens","C6","F","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2072","F 53-141","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C4","","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2073","F 53-141","IYS2022","Franklin","copepod","Eucalanus spp. C1-C4","Eucalanus bungii","C4","M","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2074","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C5","F","",5.09662,1528.986,"IYS2022-Franklin-5-53-141-Bongo-1"
"2075","F 53-141","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","",">= 5mm < 10mm",0.16989,50.967,"IYS2022-Franklin-5-53-141-Bongo-1"
"2076","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C6","F","",3.39775,1019.325,"IYS2022-Franklin-5-53-141-Bongo-1"
"2077","F 53-141","IYS2022","Franklin","chaetognath","Chaetognatha","Chaetognatha spp.","juvenile","","< 5mm",1.01932,305.796,"IYS2022-Franklin-5-53-141-Bongo-1"
"2078","F 53-141","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C1","","",2.37842,713.526,"IYS2022-Franklin-5-53-141-Bongo-1"
"2079","F 53-141","IYS2022","Franklin","amphipod","Phronima sedentaria","Phronima sedentaria","adult","F","",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2080","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C5","M","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2081","F 53-141","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","","> 10mm",0.02124,6.372,"IYS2022-Franklin-5-53-141-Bongo-1"
"2082","F 53-141","IYS2022","Franklin","polychaete","Polychaeta","Typhloscolex muelleri","","",">= 5mm < 10mm",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2083","F 53-141","IYS2022","Franklin","copepod","Euchaetidae C1-C3","Euchaetidae spp.","C2","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2084","F 53-141","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C3","","",2.37842,713.526,"IYS2022-Franklin-5-53-141-Bongo-1"
"2085","F 53-141","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C5","","",2.37842,713.526,"IYS2022-Franklin-5-53-141-Bongo-1"
"2086","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C6","M","",3.39775,1019.325,"IYS2022-Franklin-5-53-141-Bongo-1"
"2087","F 53-141","IYS2022","Franklin","isopod","Isopoda","Microniscus spp.","larvae","","< 5mm",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2088","F 53-141","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","juvenile","",">= 5mm < 10mm",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2089","F 53-141","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C5","M","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2090","F 53-141","IYS2022","Franklin","copepod","Oithona similis C6","Oithona similis","C6","F","",5.77617,1732.851,"IYS2022-Franklin-5-53-141-Bongo-1"
"2091","F 53-141","IYS2022","Franklin","isopod","Isopoda","Epicarid spp.","larvae","","< 5mm",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2092","F 53-141","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C1","","",3.39775,1019.325,"IYS2022-Franklin-5-53-141-Bongo-1"
"2093","F 53-141","IYS2022","Franklin","ostracod","Ostracoda","Conchoecinae spp.","","","< 5mm",2.37842,713.526,"IYS2022-Franklin-5-53-141-Bongo-1"
"2094","F 53-141","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","","> 10mm",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2095","F 53-141","IYS2022","Franklin","copepod","Pleuromamma spp. C1-C4","Pleuromamma spp.","C2","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2096","F 53-141","IYS2022","Franklin","copepod","Heterorhabdus tanneri C4-C6","Heterorhabdus tanneri","C6","F","",0.08494,25.482,"IYS2022-Franklin-5-53-141-Bongo-1"
"2097","F 53-141","IYS2022","Franklin","chaetognath","Chaetognatha","Parasagitta elegans","","","> 10mm",0.25483,76.449,"IYS2022-Franklin-5-53-141-Bongo-1"
"2098","F 53-141","IYS2022","Franklin","copepod","Ctenocalanus vanus","Ctenocalanus vanus","C5","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2099","F 53-141","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C6","F","",0.25483,76.449,"IYS2022-Franklin-5-53-141-Bongo-1"
"2100","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus minutus","C6","F","",1.01932,305.796,"IYS2022-Franklin-5-53-141-Bongo-1"
"2101","F 53-141","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","juvenile","",">= 5mm < 10mm",0.02124,6.372,"IYS2022-Franklin-5-53-141-Bongo-1"
"2102","F 53-141","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus spp.","C3","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2103","F 53-141","IYS2022","Franklin","copepod","Oithona spp. C3-C5","Oithona atlantica","C5","","",1.01932,305.796,"IYS2022-Franklin-5-53-141-Bongo-1"
"2104","F 53-141","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C6","F","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2105","F 53-141","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","",">= 5mm < 10mm",0.04247,12.741,"IYS2022-Franklin-5-53-141-Bongo-1"
"2106","F 53-141","IYS2022","Franklin","gastropod","Gastropoda","Gastropoda spp. trich","larvae","","< 5mm",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2107","F 53-141","IYS2022","Franklin","copepod","Metridia pacifica C5-C6","Metridia pacifica","C5","F","",0.67955,203.865,"IYS2022-Franklin-5-53-141-Bongo-1"
"2108","F 53-141","IYS2022","Franklin","copepod","Oithona similis C6","Oithona similis","C6","M","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2109","F 53-141","IYS2022","Franklin","ostracod","Ostracoda","Conchoecia rudjakovi","","","< 5mm",0.16989,50.967,"IYS2022-Franklin-5-53-141-Bongo-1"
"2110","F 53-141","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C6","F","",1.3591,407.73,"IYS2022-Franklin-5-53-141-Bongo-1"
"2111","F 53-141","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura labradoriensis","","",">= 5mm < 10mm",0.50966,152.898,"IYS2022-Franklin-5-53-141-Bongo-1"
"2112","F 53-141","IYS2022","Franklin","copepod","Oithona atlantica C6","Oithona atlantica","C6","F","",1.3591,407.73,"IYS2022-Franklin-5-53-141-Bongo-1"
"2113","F 53-141","IYS2022","Franklin","copepod","Metridia pacifica C5-C6","Metridia pacifica","C6","F","",1.69887,509.661,"IYS2022-Franklin-5-53-141-Bongo-1"
"2114","F 53-141","IYS2022","Franklin","copepod","Aetideidae","Aetideus pacificus","C5","","",0.33977,101.931,"IYS2022-Franklin-5-53-141-Bongo-1"
"2115","F 53-141","IYS2022","Franklin","chaetognath","Chaetognatha","Parasagitta elegans","","",">= 5mm < 10mm",0.16989,50.967,"IYS2022-Franklin-5-53-141-Bongo-1"
"2116","F 53-141","IYS2022","Franklin","copepod","Eucalanus bungii C5-C6","Eucalanus bungii","C5","F","",0.76449,229.347,"IYS2022-Franklin-5-53-141-Bongo-1"
"2117","F 53-141","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C4","","",1.69887,509.661,"IYS2022-Franklin-5-53-141-Bongo-1"
"2118","F 53-141","IYS2022","Franklin","copepod","Metridia pacifica C5-C6","Metridia pacifica","C5","M","",1.3591,407.73,"IYS2022-Franklin-5-53-141-Bongo-1"
"2119","F 53-141","IYS2022","Franklin","euphausiid","Thysanoessa longipes","Thysanoessa longipes","adult","F","",0.01062,3.186,"IYS2022-Franklin-5-53-141-Bongo-1"
"2120","F 53-141","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C1","","",8.1546,2446.38,"IYS2022-Franklin-5-53-141-Bongo-1"
"2121","F 53-141","IYS2022","Franklin","thaliacea","Doliolidae","Doliopsis spp.","","",">= 5mm < 10mm",0.50966,152.898,"IYS2022-Franklin-5-53-141-Bongo-1"
"2122","F 53-144","IYS2022","Franklin","cnidarian","Aglantha digitale","Aglantha digitale","","","> 10mm",0.19945,59.835,"IYS2022-Franklin-5-53-144-Bongo-1"
"2123","F 53-144","IYS2022","Franklin","gastropod","Limacina helicina","Limacina helicina","","","< 2mm",11.16928,3350.784,"IYS2022-Franklin-5-53-144-Bongo-1"
"2124","F 53-144","IYS2022","Franklin","chaetognath","Chaetognatha","Mesosagitta minima","","",">= 5mm < 10mm",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2125","F 53-144","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura spp.","","","< 5mm",1.99452,598.356,"IYS2022-Franklin-5-53-144-Bongo-1"
"2126","F 53-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C6","F","",1.99452,598.356,"IYS2022-Franklin-5-53-144-Bongo-1"
"2127","F 53-144","IYS2022","Franklin","copepod","Paraeuchaeta elongata C4-C6","Paraeuchaeta elongata","C6","F","",0.0374,11.22,"IYS2022-Franklin-5-53-144-Bongo-1"
"2128","F 53-144","IYS2022","Franklin","copepod","Microcalanus spp.","Microcalanus pygmaeus","C5","","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2129","F 53-144","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","",">= 5mm < 10mm",0.02493,7.479,"IYS2022-Franklin-5-53-144-Bongo-1"
"2130","F 53-144","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C6","F","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2131","F 53-144","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","juvenile","","> 10mm",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2132","F 53-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus newmani","C6","M","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2133","F 53-144","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C4","","",1.59561,478.683,"IYS2022-Franklin-5-53-144-Bongo-1"
"2134","F 53-144","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","juvenile","",">= 5mm < 10mm",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2135","F 53-144","IYS2022","Franklin","appendicularian","Oikopleura spp.","Oikopleura labradoriensis","","","> 10mm",0.04986,14.958,"IYS2022-Franklin-5-53-144-Bongo-1"
"2136","F 53-144","IYS2022","Franklin","polychaete","Polychaeta","Phalacrophorus pictus","","",">= 5mm < 10mm",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2137","F 53-144","IYS2022","Franklin","euphausiid","Thysanoessa inspinata","Thysanoessa inspinata","adult","F","",0.02493,7.479,"IYS2022-Franklin-5-53-144-Bongo-1"
"2138","F 53-144","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris spp.","","","< 5mm",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2139","F 53-144","IYS2022","Franklin","ostracod","Ostracoda","Conchoecinae spp.","","","< 5mm",3.59013,1077.039,"IYS2022-Franklin-5-53-144-Bongo-1"
"2140","F 53-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C3","","",4.78684,1436.052,"IYS2022-Franklin-5-53-144-Bongo-1"
"2141","F 53-144","IYS2022","Franklin","copepod","Neocalanus cristatus","Neocalanus cristatus","C5","","",0.99726,299.178,"IYS2022-Franklin-5-53-144-Bongo-1"
"2142","F 53-144","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","","> 10mm",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2143","F 53-144","IYS2022","Franklin","copepod","Candacia columbiae C5-C6","Candacia columbiae","C6","F","",0.04986,14.958,"IYS2022-Franklin-5-53-144-Bongo-1"
"2144","F 53-144","IYS2022","Franklin","copepod","Metridia spp. C1-C4","Metridia spp.","C4","","",1.99452,598.356,"IYS2022-Franklin-5-53-144-Bongo-1"
"2145","F 53-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C1","","",3.98903,1196.709,"IYS2022-Franklin-5-53-144-Bongo-1"
"2146","F 53-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C5","F","",0.79781,239.343,"IYS2022-Franklin-5-53-144-Bongo-1"
"2147","F 53-144","IYS2022","Franklin","copepod","Paraeuchaeta elongata C4-C6","Paraeuchaeta elongata","C5","M","",0.02493,7.479,"IYS2022-Franklin-5-53-144-Bongo-1"
"2148","F 53-144","IYS2022","Franklin","polychaete","Polychaeta","Typhloscolex muelleri","","",">= 5mm < 10mm",0.04986,14.958,"IYS2022-Franklin-5-53-144-Bongo-1"
"2149","F 53-144","IYS2022","Franklin","copepod","Pseudocalanus spp.","Pseudocalanus mimus","C4","","",0.79781,239.343,"IYS2022-Franklin-5-53-144-Bongo-1"
"2150","F 53-144","IYS2022","Franklin","cnidarian","Dimophyes arctica","Dimophyes arctica","nectophore","",">= 5mm < 10mm",0.29918,89.754,"IYS2022-Franklin-5-53-144-Bongo-1"
"2151","F 53-144","IYS2022","Franklin","thaliacea","Doliolidae","Doliopsis spp.","","","< 5mm",1.09698,329.094,"IYS2022-Franklin-5-53-144-Bongo-1"
"2152","F 53-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus flemingeri","C4","","",1.59561,478.683,"IYS2022-Franklin-5-53-144-Bongo-1"
"2153","F 53-144","IYS2022","Franklin","copepod","Aetideidae","Aetideus pacificus","C5","","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2154","F 53-144","IYS2022","Franklin","amphipod","Primno abyssalis","Primno abyssalis","adult","F","",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2155","F 53-144","IYS2022","Franklin","copepod","Gaetanus simplex C5-C6","Gaetanus simplex","C6","F","",0.29918,89.754,"IYS2022-Franklin-5-53-144-Bongo-1"
"2156","F 53-144","IYS2022","Franklin","copepod","Aetideidae","Aetideus pacificus","C4","","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2157","F 53-144","IYS2022","Franklin","copepod","Oithona similis C6","Oithona similis","C6","F","",2.39342,718.026,"IYS2022-Franklin-5-53-144-Bongo-1"
"2158","F 53-144","IYS2022","Franklin","amphipod","Cyphocaris challengeri","Cyphocaris challengeri","","","< 5mm",0.19945,59.835,"IYS2022-Franklin-5-53-144-Bongo-1"
"2159","F 53-144","IYS2022","Franklin","copepod","Neocalanus flemingeri/plumchrus","Neocalanus plumchrus","C4","","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2160","F 53-144","IYS2022","Franklin","copepod","Racovitzanus antarcticus","Racovitzanus antarcticus","C4","","",1.19671,359.013,"IYS2022-Franklin-5-53-144-Bongo-1"
"2161","F 53-144","IYS2022","Franklin","ostracod","Ostracoda","Metaconchoecia spp.","","","< 5mm",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2162","F 53-144","IYS2022","Franklin","gastropod","Clione limacina","Clione limacina","juvenile","","< 5mm",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2163","F 53-144","IYS2022","Franklin","appendicularian","Fritillaria spp.","Fritillaria borealis","","","< 5mm",3.98903,1196.709,"IYS2022-Franklin-5-53-144-Bongo-1"
"2164","F 53-144","IYS2022","Franklin","euphausiid","Euphausia pacifica","Euphausia pacifica","adult","F","",0.0374,11.22,"IYS2022-Franklin-5-53-144-Bongo-1"
"2165","F 53-144","IYS2022","Franklin","polychaete","Tomopteris spp.","Tomopteris septentrionalis","","","> 10mm",0.04986,14.958,"IYS2022-Franklin-5-53-144-Bongo-1"
"2166","F 53-144","IYS2022","Franklin","copepod","Heterostylites major C4-C6","Heterostylites major","C6","M","",0.01247,3.741,"IYS2022-Franklin-5-53-144-Bongo-1"
"2167","F 53-144","IYS2022","Franklin","chaetognath","Chaetognatha","Chaetognatha spp.","","","< 5mm",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
"2168","F 53-144","IYS2022","Franklin","copepod","Scolecithricella minor","Scolecithricella minor","C6","F","",0.3989,119.67,"IYS2022-Franklin-5-53-144-Bongo-1"
